dataset,candidate_name,model_type,calibration_type,config_file,notebook_file,predictions_file,metrics_file,n_motors,MAE,RMSE,R2,CMAPSS_total,CMAPSS_mean,dangerous_any_pct,dangerous_10_pct,dangerous_20_pct,conservative_pct,bias,MAE_RUL_le_50,MAE_RUL_gt_125,score_share_RUL_gt_125,pred_max,true_RUL_max,selected_final_candidate,reason_selected,threshold,offset
FD004,fd004_high_rul_thr70_off4,xgboost,piecewise_high_rul_threshold_70_offset_4,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.574309161389209,16.62406147832658,0.8458429113666099,4176.875433415087,5.591533378065712,49.129852744310575,21.954484605087014,9.63855421686747,50.870147255689425,-0.7875919801643095,8.043953870137532,20.166582172419748,0.20333204773157385,136.1786651611328,140.0,False,,70.0,4.0
FD004,fd004_high_rul_thr100_off8,xgboost,piecewise_high_rul_threshold_100_offset_8,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.384657794691952,16.522615936356555,0.8477186062580415,4208.805931677264,5.634278355658989,49.129852744310575,23.293172690763054,7.49665327978581,50.870147255689425,-0.24140724120848636,7.790620536804199,16.876495984135843,0.19385037331620508,140.1786651611328,140.0,False,,100.0,8.0
FD004,fd004_high_rul_thr80_off6,xgboost,piecewise_high_rul_threshold_80_offset_6,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.603101189037563,16.551325190294907,0.8471889463718508,4241.902314861747,5.678584089507024,48.19277108433735,24.765729585006692,10.575635876840696,51.80722891566265,0.0343625044407773,7.9306205368041995,18.166582172419748,0.16672359648604942,138.1786651611328,140.0,False,,80.0,6.0
FD004,fd004_high_rul_thr110_off10,xgboost,piecewise_high_rul_threshold_110_offset_10,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.352704971190915,16.64671339407534,0.8454225168134499,4296.377324657553,5.751509136087755,45.51539491298527,25.0334672021419,8.165997322623829,54.48460508701473,-0.5439507485712708,7.790620536804199,16.53198345988786,0.20995571286328268,142.1786651611328,140.0,False,,110.0,10.0
FD004,fd004_high_rul_thr120_off20,xgboost,piecewise_high_rul_threshold_120_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.242341438610072,16.987320814162167,0.8390322014165451,4375.095742152927,5.856888543712085,52.74431057563588,17.8045515394913,8.165997322623829,47.25568942436412,-1.2534554339795707,7.790620536804199,19.916734760310373,0.25396092774164236,152.1786651611328,140.0,False,,120.0,20.0
FD004,fd004_high_rul_thr90_off8,xgboost,piecewise_high_rul_threshold_90_offset_8,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.363238785321135,16.598337804431218,0.8463196202180969,4481.549507988639,5.999396931711698,49.129852744310575,23.293172690763054,11.646586345381527,50.870147255689425,0.5082580867700945,7.843953870137533,16.386700065768494,0.15503094131180123,140.1786651611328,140.0,False,,90.0,8.0
FD004,fd004_high_rul_thr100_off10,xgboost,piecewise_high_rul_threshold_100_offset_10,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.39244872403432,16.623454671629144,0.8458541651563907,4515.5783120309525,6.044950886252948,50.46854082998661,25.0334672021419,8.165997322623829,49.531459170013385,0.48683907739927795,7.790620536804199,15.103412031316433,0.16625678588066792,142.1786651611328,140.0,False,,100.0,10.0
FD004,fd004_high_rul_thr110_off12,xgboost,piecewise_high_rul_threshold_110_offset_12,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.3053689800911,16.764525900749774,0.843226815768807,4576.773168727581,6.126871711817377,46.050870147255694,25.0334672021419,9.236947791164658,53.94912985274431,-0.02186239515761618,7.790620536804199,15.175793083346619,0.18937614727261587,144.1786651611328,140.0,False,,110.0,12.0
FD004,fd004_high_rul_thr70_off6,xgboost,piecewise_high_rul_threshold_70_offset_6,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.594588418881418,16.65115618434953,0.8453399963824599,4623.614045301208,6.189577035209113,50.602409638554214,24.765729585006692,10.575635876840696,49.39759036144578,0.3958082875733074,8.170620536804199,18.166582172419748,0.15295939560417535,138.1786651611328,140.0,False,,70.0,6.0
FD004,fd004_high_rul_thr80_off8,xgboost,piecewise_high_rul_threshold_80_offset_8,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.630976402456342,16.658715873009864,0.845199532036436,4654.734473809403,6.231237582074168,49.129852744310575,26.907630522088354,11.646586345381527,50.870147255689425,1.0972808444675513,7.9772872034708655,16.169012990938562,0.1257746757904953,140.1786651611328,140.0,False,,80.0,8.0
FD004,fd004_high_rul_thr100_off12,xgboost,piecewise_high_rul_threshold_100_offset_12,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.438820898931828,16.810551398853793,0.8423648207708893,4916.895905062465,6.582189966616419,51.00401606425703,26.238286479250334,9.236947791164658,48.99598393574297,1.2150853960070422,7.790620536804199,13.461507369060906,0.14171510941073376,144.1786651611328,140.0,False,,100.0,12.0
FD004,fd004_high_rul_thr90_off10,xgboost,piecewise_high_rul_threshold_90_offset_10,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.3656749623208,16.773442823455746,0.8430599985083943,4935.118589508887,6.606584457173879,50.46854082998661,25.0334672021419,12.449799196787147,49.531459170013385,1.4239207373725042,7.857287203470866,14.49116713335725,0.12346995328553571,142.1786651611328,140.0,False,,90.0,10.0
FD004,fd004_high_rul_thr110_off15,xgboost,piecewise_high_rul_threshold_110_offset_15,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.290799737136208,17.05489325988722,0.8377490536755268,5147.273707274711,6.890593985642184,48.058902275769746,25.0334672021419,11.914323962516733,51.941097724230254,0.7612701349628654,7.790620536804199,13.428288154861553,0.16084046480840067,147.1786651611328,140.0,False,,110.0,15.0
FD004,fd004_high_rul_thr80_off10,xgboost,piecewise_high_rul_threshold_80_offset_10,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.70034698373981,16.89174167694255,0.8408384757756953,5211.813649131042,6.976992836855478,50.46854082998661,29.71887550200803,12.449799196787147,49.531459170013385,2.160199184494325,8.023953870137532,14.219058289819834,0.09241970571159666,142.1786651611328,140.0,False,,80.0,10.0
FD004,fd004_high_rul_thr70_off8,xgboost,piecewise_high_rul_threshold_70_offset_8,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.681407190550123,16.819517995084524,0.8421966135620526,5235.204916826775,7.008306448228614,52.34270414993306,26.907630522088354,11.646586345381527,47.65729585006693,1.5792085553109243,8.297287203470866,16.169012990938562,0.11182899783970215,140.1786651611328,140.0,False,,70.0,8.0
FD004,fd004_high_rul_thr90_off12,xgboost,piecewise_high_rul_threshold_90_offset_12,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.42239706966293,17.054459857640676,0.8377572998756148,5526.462808610705,7.398209917818882,51.80722891566265,26.238286479250334,13.520749665327978,48.19277108433735,2.3395833879749137,7.870620536804199,12.726813491509885,0.09734626985480127,144.1786651611328,140.0,False,,90.0,12.0
FD004,fd004_high_rul_thr100_off15,xgboost,piecewise_high_rul_threshold_100_offset_15,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.564813904972919,17.246436599882248,0.8340841105354171,5733.653707689222,7.675573905875799,53.01204819277109,27.978580990629183,11.914323962516733,46.98795180722892,2.307454873918689,7.790620536804199,11.28543101200441,0.11072736848359693,147.1786651611328,140.0,False,,100.0,15.0
FD004,fd004_high_rul_thr80_off12,xgboost,piecewise_high_rul_threshold_80_offset_12,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.82400349536574,17.24531045193308,0.8341057775896282,5938.40864486172,7.949676900751967,51.80722891566265,30.923694779116467,14.725568942436412,48.19277108433735,3.223117524521099,8.0706205368042,12.400282879264987,0.06644823659333761,144.1786651611328,140.0,False,,80.0,12.0
FD004,fd004_high_rul_thr70_off10,xgboost,piecewise_high_rul_threshold_70_offset_10,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.841134110926943,17.12498087500518,0.8364127629053878,6039.172099209283,8.084567736558611,54.48460508701473,29.71887550200803,12.449799196787147,45.51539491298527,2.762608823048542,8.423953870137533,14.219058289819834,0.07975833040748083,142.1786651611328,140.0,False,,70.0,10.0
FD004,fd004_high_rul_thr110_off20,xgboost,piecewise_high_rul_threshold_110_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.670721626026404,17.823521263295508,0.8227948887832177,6660.226546179312,8.915965925273511,52.74431057563588,25.702811244979916,16.06425702811245,47.25568942436412,2.0664910184970022,7.790620536804199,12.56979598480017,0.12247092951416289,152.1786651611328,140.0,False,,110.0,20.0
FD004,fd004_high_rul_thr90_off15,xgboost,piecewise_high_rul_threshold_90_offset_15,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,12.643136554294163,17.662995109595723,0.8259724826956762,6730.868706035952,9.010533743020016,55.55555555555556,27.978580990629183,16.198125836680052,44.44444444444444,3.7130773638785284,7.8906205368041995,10.367063665065636,0.06752176684500413,147.1786651611328,140.0,False,,90.0,15.0
FD004,fd004_high_rul_thr70_off12,xgboost,piecewise_high_rul_threshold_70_offset_12,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,13.069208293235604,17.5603916648395,0.8279884444124658,7069.687599208179,9.464106558511618,55.82329317269076,31.994645247657296,14.725568942436412,44.17670682730924,3.946009090786159,8.5506205368042,12.400282879264987,0.05581530684126533,144.1786651611328,140.0,False,,70.0,12.0
FD004,fd004_high_rul_thr80_off15,xgboost,piecewise_high_rul_threshold_80_offset_15,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,13.145144586422676,17.985475075411394,0.8195599017005412,7418.215509687753,9.930676719796189,55.55555555555556,32.663989290495316,18.473895582329316,44.44444444444444,4.81749503456126,8.1406205368042,9.958900399759512,0.039311162596749626,147.1786651611328,140.0,False,,80.0,15.0
FD004,fd004_high_rul_thr100_off20,xgboost,piecewise_high_rul_threshold_100_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,13.179006208856421,18.350642046887653,0.812158410390377,7892.361996397364,10.565410972419498,57.69745649263721,30.655957161981256,16.06425702811245,42.302543507362785,4.1280706704381,7.790620536804199,9.712653127657314,0.07529701945665532,152.1786651611328,140.0,False,,100.0,20.0
FD004,fd004_high_rul_thr70_off15,xgboost,piecewise_high_rul_threshold_70_offset_15,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,13.546975890316638,18.436280416898192,0.8104010894801004,9138.108198306061,12.233076570690844,59.57161981258366,34.93975903614458,18.473895582329316,40.42838018741633,5.721109492392585,8.7406205368042,9.958900399759512,0.0319123684848821,147.1786651611328,140.0,False,,70.0,15.0
FD004,fd004_high_rul_thr90_off20,xgboost,piecewise_high_rul_threshold_90_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,13.554485441052131,19.118210549016506,0.7961157361137273,9902.530519870586,13.256399624994092,61.31191432396251,30.655957161981256,20.34805890227577,38.68808567603748,6.0022339903845525,7.923953870137533,8.488163331738946,0.03911536929381342,152.1786651611328,140.0,False,,90.0,20.0
FD004,fd004_high_rul_thr80_off20,xgboost,piecewise_high_rul_threshold_80_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,14.22382948389015,19.70270664138814,0.7834585655920988,11311.974858304919,15.143205968279677,61.31191432396251,35.34136546184739,25.0334672021419,38.68808567603748,7.474790884628193,8.257287203470867,7.943945644664115,0.01772641008457615,152.1786651611328,140.0,False,,80.0,20.0
FD004,fd004_high_rul_thr70_off20,xgboost,piecewise_high_rul_threshold_70_offset_20,configs/FD004/fd004_high_rul_calibration_grid_v01.yaml,notebooks/FD004/26_fd004_high_rul_condition_cluster_calibration_v01.ipynb,results/FD004/fd004_predictions_calibrated_v01.csv,results/FD004/fd004_high_rul_calibration_results_v01.csv,747,14.886704964490939,20.39884575031526,0.7678864920782047,14509.781425722305,19.424071520377918,65.32797858099063,39.3574297188755,25.0334672021419,34.67202141900937,8.679610161736628,9.057287203470866,7.943945644664115,0.013819691649472669,152.1786651611328,140.0,False,,70.0,20.0
